Hokkaido,other
Aomori,fruit
Iwate,tea
Miyagi,tea
Akita,chocolate
Yamagata,fruit
Fukushima,fruit
Ibaraki,fruit
Tochigi,chocolate
Gunma,fruit
Saitama,fruit
Chiba,other
Tokyo,chocolate
Kanagawa,other
Niigata,other
Toyama,fruit
Ishikawa,tea
Fukui,tea
Yamanashi,fruit
Nagano,fruit
Gifu,tea
Shizuoka,fruit
Aichi,other
Mie,fruit
Shiga,fruit
Kyoto,tea
Osaka,fruit
Hyogo,chocolate
Nara,tea
Wakayama,fruit
Tottori,chocolate
Shimane,tea
Okayama,fruit
Hiroshima,fruit
Yamaguchi,other
Tokushima,fruit
Kagawa,tea
Ehime,fruit
Kochi,other
Fukuoka,tea
Saga,chocolate
Nagasaki,chocolate
Kumamoto,chocolate
Oita,fruit
Miyazaki,fruit
Kagoshima,other
Okinawa,other
